dataset_index,ind1,ind2,ind3,ind4,combined
73,ind1/data73.txt,ind2/data73.txt,ind3/data73.txt,ind4/data73.txt,combined/data73.txt
74,ind1/data74.txt,ind2/data74.txt,ind3/data74.txt,ind4/data74.txt,combined/data74.txt
75,ind1/data75.txt,ind2/data75.txt,ind3/data75.txt,ind4/data75.txt,combined/data75.txt
76,ind1/data76.txt,ind2/data76.txt,ind3/data76.txt,ind4/data76.txt,combined/data76.txt
77,ind1/data77.txt,ind2/data77.txt,ind3/data77.txt,ind4/data77.txt,combined/data77.txt
78,ind1/data78.txt,ind2/data78.txt,ind3/data78.txt,ind4/data78.txt,combined/data78.txt
79,ind1/data79.txt,ind2/data79.txt,ind3/data79.txt,ind4/data79.txt,combined/data79.txt
80,ind1/data80.txt,ind2/data80.txt,ind3/data80.txt,ind4/data80.txt,combined/data80.txt
81,ind1/data81.txt,ind2/data81.txt,ind3/data81.txt,ind4/data81.txt,combined/data81.txt
82,ind1/data82.txt,ind2/data82.txt,ind3/data82.txt,ind4/data82.txt,combined/data82.txt
83,ind1/data83.txt,ind2/data83.txt,ind3/data83.txt,ind4/data83.txt,combined/data83.txt
84,ind1/data84.txt,ind2/data84.txt,ind3/data84.txt,ind4/data84.txt,combined/data84.txt
85,ind1/data85.txt,ind2/data85.txt,ind3/data85.txt,ind4/data85.txt,combined/data85.txt
86,ind1/data86.txt,ind2/data86.txt,ind3/data86.txt,ind4/data86.txt,combined/data86.txt
87,ind1/data87.txt,ind2/data87.txt,ind3/data87.txt,ind4/data87.txt,combined/data87.txt
88,ind1/data88.txt,ind2/data88.txt,ind3/data88.txt,ind4/data88.txt,combined/data88.txt
89,ind1/data89.txt,ind2/data89.txt,ind3/data89.txt,ind4/data89.txt,combined/data89.txt
90,ind1/data90.txt,ind2/data90.txt,ind3/data90.txt,ind4/data90.txt,combined/data90.txt
91,ind1/data91.txt,ind2/data91.txt,ind3/data91.txt,ind4/data91.txt,combined/data91.txt
92,ind1/data92.txt,ind2/data92.txt,ind3/data92.txt,ind4/data92.txt,combined/data92.txt
93,ind1/data93.txt,ind2/data93.txt,ind3/data93.txt,ind4/data93.txt,combined/data93.txt
94,ind1/data94.txt,ind2/data94.txt,ind3/data94.txt,ind4/data94.txt,combined/data94.txt
95,ind1/data95.txt,ind2/data95.txt,ind3/data95.txt,ind4/data95.txt,combined/data95.txt
96,ind1/data96.txt,ind2/data96.txt,ind3/data96.txt,ind4/data96.txt,combined/data96.txt
97,ind1/data97.txt,ind2/data97.txt,ind3/data97.txt,ind4/data97.txt,combined/data97.txt
98,ind1/data98.txt,ind2/data98.txt,ind3/data98.txt,ind4/data98.txt,combined/data98.txt
99,ind1/data99.txt,ind2/data99.txt,ind3/data99.txt,ind4/data99.txt,combined/data99.txt
