scenario #,channel1_score,channel2_score,channel3_score,channel4_score,combined_score
331,30,85,85,75,
332,75,60,30,45,
333,85,75,85,85,
334,20,30,20,70,
335,30,20,85,75,
336,30,85,75,75,
337,30,85,75,30,
338,30,70,30,85,
339,30,30,30,30,85
340,30,75,85,30,
341,85,85,30,65,
342,85,30,30,30,
343,75,85,30,45,
344,75,30,70,30,
345,45,75,30,30,
346,30,30,30,30,75
347,65,85,30,85,
348,20,85,30,85,
349,85,75,30,85,
350,85,30,30,75,
351,85,75,85,30,
352,30,30,30,30,95
353,30,85,30,75,
354,30,85,45,45,
355,75,30,45,45,
356,70,45,85,30,
357,85,75,30,30,
358,30,45,30,75,
359,85,30,30,30,
360,20,30,30,30,75
361,75,30,85,85,
362,70,30,75,30,
363,30,85,75,30,
364,85,85,30,30,
365,65,45,30,20,85
366,30,30,20,85,
367,85,30,20,85,
368,20,30,85,20,
369,20,60,30,75,
370,85,30,70,30,
371,75,30,30,85,
372,30,30,85,30,
373,20,85,85,20,
374,75,85,30,85,
375,85,75,20,70,
376,75,70,85,75,
377,20,45,85,20,
378,85,85,85,75,
379,85,85,20,30,
380,85,30,75,30,
381,85,30,85,30,
382,85,85,30,30,
383,75,75,85,85,
384,85,30,30,30,
385,45,30,85,85,
386,75,45,85,30,
387,30,30,85,30,
388,30,30,20,20,85
389,75,20,30,85,
390,30,85,85,45,
391,45,30,30,75,
392,20,20,20,85,
393,20,30,30,75,
394,30,85,45,75,
395,20,85,75,30,
396,85,30,75,30,
397,30,85,45,75,
398,30,85,30,20,
399,45,20,70,70,
400,10,20,10,20,20
401,20,10,10,10,75
402,20,10,10,10,20
403,10,10,20,20,30
404,10,10,20,20,20
405,10,10,10,10,20
406,10,10,10,10,30
407,15,10,10,20,20
408,20,10,10,10,30
409,20,20,20,20,30
410,10,10,20,20,20
411,10,10,10,10,20
412,10,10,10,10,20
413,20,20,15,10,20
414,10,10,10,10,10
415,10,10,10,10,20
416,10,10,10,20,20
417,10,10,10,20,10
418,10,20,10,20,20
419,20,10,10,10,70
420,10,10,20,20,20
421,10,10,15,10,20
422,10,10,10,10,20
423,10,10,10,10,30
424,10,10,20,20,20
425,20,20,20,10,30
426,10,10,10,10,20
427,20,10,10,10,15
428,10,10,10,10,30
429,10,20,10,10,10
430,10,10,10,20,20
431,10,10,10,10,30
432,20,10,20,20,75
433,20,20,20,10,30
434,10,10,10,10,30
435,10,20,10,20,20
436,10,10,10,10,20
437,20,10,10,10,30
438,10,10,10,20,30
439,10,10,10,10,30
440,20,10,10,20,30
441,10,10,10,20,10
442,10,10,20,10,20
443,10,10,10,10,20
444,10,20,10,10,20
445,10,10,10,10,20
446,10,10,20,20,30
447,10,10,10,10,30
448,10,20,15,10,20
449,10,10,10,20,30
450,20,20,10,10,30
451,10,20,10,20,30
452,10,10,10,20,10
453,10,10,10,10,20
454,10,10,10,10,20
455,10,10,10,20,20
456,10,20,10,10,20
457,10,10,10,10,30
458,10,10,20,10,20
459,10,10,10,10,20
460,10,10,10,10,30
461,10,20,20,10,75
462,10,10,20,10,20
463,10,10,10,10,20
464,20,10,20,10,30
465,10,10,10,20,30
466,20,20,20,15,30
467,20,10,10,20,20
468,20,20,10,20,10
469,10,10,10,10,10
470,10,10,10,10,30
471,20,10,10,10,30
472,10,20,10,10,30
473,10,10,10,10,15
474,20,20,10,20,20
475,10,20,10,10,45
476,10,20,20,10,10
477,10,10,10,10,20
478,10,20,20,20,30
479,10,10,10,10,20
480,10,10,10,10,30
481,10,10,10,10,20
482,10,10,20,10,20
483,30,20,20,20,30
484,20,10,10,10,20
485,20,20,10,10,45
486,10,15,10,10,10
487,20,10,20,20,30
488,10,10,20,20,20
489,10,10,10,10,30
490,20,20,20,10,30
491,20,10,10,20,20
492,10,10,20,20,30
493,10,10,10,10,20
494,10,10,10,10,20
495,10,10,10,20,20
496,20,10,20,10,20
497,10,10,20,10,20
498,10,20,10,20,20
499,20,10,10,10,30
500,45,65,85,30,
501,85,30,85,30,
502,75,85,30,30,
503,85,85,30,70,
504,20,85,75,75,
505,70,75,30,85,
506,30,75,30,85,
507,20,30,30,75,
508,70,75,85,30,
509,85,30,30,85,
510,30,75,30,75,
511,85,85,45,30,
512,30,85,85,30,
513,45,30,30,85,
514,45,70,70,65,
515,20,30,85,30,
516,30,75,70,85,
517,85,75,30,30,
518,30,30,85,30,
519,85,30,30,30,
520,30,20,30,85,
521,30,85,75,30,
522,30,30,75,45,
523,85,30,85,45,
524,65,85,30,65,
525,20,75,20,45,
526,30,30,75,85,
527,30,30,30,30,85
528,20,30,85,30,
529,85,30,75,30,
530,85,75,85,20,
531,75,30,85,30,
532,30,85,75,30,
533,30,75,75,30,
534,85,85,30,85,
535,30,30,30,85,
536,85,30,30,65,
537,30,75,85,75,
538,70,30,30,45,
539,30,30,30,30,85
540,45,75,45,75,
541,75,30,75,75,
542,75,30,85,85,
543,85,85,85,30,
544,30,70,30,30,
545,85,45,30,70,
546,85,75,30,85,
547,85,20,75,85,
548,20,75,30,85,
549,85,20,20,85,
550,30,30,30,30,85
551,85,85,30,45,
552,85,45,30,20,
553,30,30,20,65,85
554,30,70,85,30,
555,30,30,45,70,
556,65,85,85,20,
557,30,45,75,70,
558,30,30,30,30,85
559,85,30,85,75,
560,30,30,20,30,85
561,45,85,45,20,
562,85,75,85,20,
563,85,85,85,45,
564,85,75,45,75,
565,85,85,45,45,
566,85,85,30,85,
567,20,85,85,85,
568,75,85,20,20,
569,30,30,30,30,85
570,75,85,30,30,
571,75,30,30,20,
572,85,30,75,85,
573,85,30,75,75,
574,85,20,85,30,
575,30,85,85,45,
576,85,30,30,45,
577,75,30,85,75,
578,45,75,85,65,
579,30,20,30,75,
580,85,65,85,75,
581,75,75,85,30,
582,20,30,85,45,
583,30,30,30,85,
584,85,30,30,30,
585,85,30,30,85,
586,30,30,30,85,
587,20,85,30,30,
588,75,30,30,70,
589,30,45,75,20,
590,85,65,30,85,
591,30,20,30,30,75
592,30,85,30,30,
593,85,20,20,20,
594,75,75,30,85,
595,75,85,85,30,
596,65,75,75,30,
597,75,30,30,75,
598,75,70,75,20,
599,85,30,70,30,
600,10,10,10,10,45
601,20,10,10,20,20
602,10,20,10,20,20
603,10,10,10,10,30
604,10,10,10,10,30
605,10,10,10,10,10
606,10,20,10,10,30
607,10,10,10,10,30
608,10,15,20,10,20
609,10,20,20,10,30
610,20,10,10,20,30
611,20,20,20,10,20
612,10,10,10,10,30
613,10,10,10,10,20
614,10,10,10,10,10
615,20,10,20,10,20
616,10,20,10,10,10
617,20,10,10,10,20
618,10,10,10,10,65
619,20,10,10,20,20
620,20,20,10,10,20
621,10,20,20,10,30
622,20,20,10,10,30
623,10,10,10,10,20
624,20,20,15,10,30
625,10,20,10,20,20
626,10,10,10,10,20
627,10,10,10,10,30
628,10,10,20,10,30
629,10,10,10,20,20
630,10,10,10,10,20
631,10,10,10,20,30
632,10,20,20,10,30
633,10,10,10,10,45
634,20,10,20,20,20
635,10,10,10,10,15
636,10,10,10,10,20
637,10,10,10,15,20
638,20,10,10,20,20
639,20,10,10,20,75
640,10,10,15,10,20
641,10,10,20,20,30
642,10,20,10,20,30
643,20,10,10,10,20
644,10,20,20,10,30
645,10,20,10,10,10
646,10,10,20,10,20
647,10,10,10,10,20
648,10,10,10,10,20
649,15,10,10,20,20
650,10,10,10,20,30
651,10,10,10,10,30
652,10,20,10,10,30
653,10,10,10,10,20
654,10,10,10,10,45
655,10,10,20,20,20
656,10,10,20,10,20
657,15,10,10,10,20
658,10,20,10,10,20
659,10,10,10,10,20
660,10,10,10,10,20
661,20,10,20,10,20
662,10,10,20,20,20
663,10,20,10,10,20
664,10,20,20,10,30
665,20,10,10,10,20
666,20,20,20,20,20
667,20,10,10,10,20
668,10,10,10,10,20
669,10,10,20,10,20
670,20,10,10,10,20
671,10,10,30,10,45
672,20,20,10,10,20
673,10,10,10,10,45
674,10,10,10,10,10
675,10,10,10,10,20
676,10,10,20,10,10
677,10,10,10,20,20
678,10,20,10,10,20
679,20,10,10,10,30
680,20,10,10,10,30
681,10,10,20,10,20
682,10,20,10,10,45
683,20,20,20,10,20
684,10,10,20,10,20
685,20,10,20,10,20
686,10,10,10,10,30
687,10,10,10,10,10
688,10,10,10,10,20
689,10,10,10,20,20
690,10,10,10,10,30
691,10,20,10,10,45
692,20,10,10,10,20
693,10,10,10,10,20
694,10,10,10,10,20
695,10,10,10,20,20
696,20,10,10,10,75
697,10,10,10,10,20
698,20,10,20,30,30
699,10,10,10,10,10
