scenario #,channel1,channel2,channel3,channel4,final
245,benign,benign,benign,malicious,malicious
246,malicious,malicious,benign,benign,malicious
247,benign,benign,malicious,benign,malicious
248,benign,benign,malicious,benign,malicious
249,malicious,malicious,benign,malicious,malicious
250,malicious,malicious,benign,benign,malicious
251,benign,malicious,malicious,benign,malicious
252,benign,benign,benign,benign,malicious
253,benign,benign,benign,malicious,malicious
254,malicious,benign,benign,malicious,malicious
255,benign,malicious,malicious,benign,malicious
256,benign,benign,malicious,benign,malicious
257,malicious,benign,benign,benign,malicious
258,benign,benign,benign,benign,malicious
259,benign,malicious,benign,benign,malicious
260,malicious,benign,benign,benign,malicious
261,malicious,malicious,benign,benign,malicious
262,malicious,benign,benign,malicious,malicious
263,malicious,benign,malicious,malicious,malicious
264,benign,benign,benign,benign,malicious
265,benign,malicious,malicious,malicious,malicious
266,benign,malicious,benign,benign,malicious
267,benign,benign,benign,malicious,malicious
268,benign,benign,benign,malicious,malicious
269,benign,malicious,malicious,benign,malicious
270,benign,malicious,malicious,benign,malicious
271,benign,benign,malicious,benign,malicious
272,benign,malicious,malicious,malicious,malicious
273,benign,benign,benign,malicious,malicious
274,benign,benign,malicious,malicious,malicious
275,malicious,malicious,malicious,benign,malicious
276,benign,malicious,benign,malicious,malicious
277,malicious,malicious,malicious,malicious,malicious
278,benign,benign,malicious,malicious,malicious
279,benign,malicious,malicious,benign,malicious
280,benign,benign,benign,malicious,malicious
281,benign,benign,malicious,malicious,malicious
282,malicious,benign,benign,benign,malicious
283,benign,malicious,benign,malicious,malicious
284,benign,malicious,benign,malicious,malicious
285,benign,malicious,malicious,benign,malicious
286,malicious,malicious,benign,malicious,malicious
287,benign,benign,malicious,malicious,malicious
288,benign,benign,malicious,benign,malicious
289,benign,malicious,benign,benign,malicious
290,benign,benign,malicious,malicious,malicious
291,benign,benign,benign,benign,malicious
292,malicious,benign,benign,malicious,malicious
293,benign,benign,benign,benign,malicious
294,malicious,benign,malicious,benign,malicious
295,benign,benign,benign,malicious,malicious
296,malicious,benign,benign,benign,malicious
297,malicious,malicious,benign,benign,malicious
298,benign,benign,benign,malicious,malicious
299,benign,benign,benign,benign,malicious
300,malicious,benign,benign,benign,malicious
301,benign,benign,benign,benign,malicious
302,malicious,malicious,benign,benign,malicious
303,benign,benign,malicious,malicious,malicious
304,benign,benign,malicious,benign,malicious
305,benign,malicious,malicious,benign,malicious
306,benign,malicious,malicious,benign,malicious
307,benign,malicious,benign,benign,malicious
308,benign,benign,malicious,benign,malicious
309,benign,benign,benign,malicious,malicious
310,malicious,benign,malicious,benign,malicious
311,benign,benign,malicious,benign,malicious
312,benign,benign,malicious,malicious,malicious
313,benign,malicious,benign,benign,malicious
314,benign,benign,benign,malicious,malicious
315,benign,benign,malicious,benign,malicious
316,benign,benign,benign,benign,malicious
317,malicious,benign,malicious,malicious,malicious
318,benign,malicious,benign,malicious,malicious
319,malicious,benign,malicious,benign,malicious
320,benign,benign,malicious,malicious,malicious
321,malicious,benign,benign,benign,malicious
322,benign,malicious,malicious,malicious,malicious
323,benign,malicious,benign,malicious,malicious
324,malicious,malicious,malicious,benign,malicious
325,malicious,benign,malicious,malicious,malicious
326,benign,malicious,benign,malicious,malicious
327,benign,malicious,benign,benign,malicious
328,malicious,malicious,benign,benign,malicious
329,benign,benign,benign,benign,malicious
330,benign,benign,benign,benign,malicious
331,benign,malicious,malicious,malicious,malicious
332,malicious,benign,benign,benign,malicious
333,malicious,malicious,malicious,malicious,malicious
334,benign,benign,benign,benign,malicious
335,benign,benign,malicious,malicious,malicious
336,benign,malicious,malicious,malicious,malicious
337,benign,malicious,malicious,benign,malicious
338,benign,benign,benign,malicious,malicious
339,benign,benign,benign,benign,malicious
340,benign,malicious,malicious,benign,malicious
341,malicious,malicious,benign,malicious,malicious
342,malicious,benign,benign,benign,malicious
343,malicious,malicious,benign,benign,malicious
344,malicious,benign,benign,benign,malicious
345,benign,malicious,benign,benign,malicious
346,benign,benign,benign,benign,malicious
347,benign,malicious,benign,malicious,malicious
348,benign,malicious,benign,malicious,malicious
349,malicious,malicious,benign,malicious,malicious
350,malicious,benign,benign,malicious,malicious
351,malicious,malicious,malicious,benign,malicious
352,benign,benign,benign,benign,malicious
353,benign,malicious,benign,malicious,malicious
354,benign,malicious,benign,benign,malicious
355,malicious,benign,benign,benign,malicious
356,benign,benign,malicious,benign,malicious
357,malicious,malicious,benign,benign,malicious
358,benign,benign,benign,malicious,malicious
359,malicious,benign,benign,benign,malicious
360,benign,benign,benign,benign,malicious
361,malicious,benign,malicious,malicious,malicious
362,malicious,benign,malicious,benign,malicious
363,benign,malicious,malicious,benign,malicious
364,malicious,malicious,benign,benign,malicious
365,benign,benign,benign,benign,malicious
366,benign,benign,benign,malicious,malicious
367,malicious,benign,benign,malicious,malicious
368,benign,benign,malicious,benign,malicious
369,benign,benign,benign,malicious,malicious
370,malicious,benign,benign,benign,malicious
371,malicious,benign,benign,malicious,malicious
372,benign,benign,malicious,benign,malicious
373,benign,malicious,malicious,benign,malicious
374,malicious,malicious,benign,malicious,malicious
375,malicious,malicious,benign,benign,malicious
376,malicious,malicious,malicious,malicious,malicious
377,benign,benign,malicious,benign,malicious
378,malicious,malicious,malicious,malicious,malicious
379,malicious,malicious,benign,benign,malicious
380,malicious,benign,malicious,benign,malicious
381,malicious,benign,malicious,benign,malicious
382,malicious,malicious,benign,benign,malicious
383,malicious,malicious,malicious,malicious,malicious
384,malicious,benign,benign,benign,malicious
385,benign,benign,malicious,malicious,malicious
386,malicious,benign,malicious,benign,malicious
387,benign,benign,malicious,benign,malicious
388,benign,benign,benign,benign,malicious
389,malicious,benign,benign,malicious,malicious
390,benign,malicious,malicious,benign,malicious
391,benign,benign,benign,malicious,malicious
392,benign,benign,benign,malicious,malicious
393,benign,benign,benign,malicious,malicious
394,benign,malicious,benign,benign,malicious
395,benign,malicious,malicious,benign,malicious
396,malicious,benign,malicious,benign,malicious
397,benign,malicious,benign,malicious,malicious
398,benign,malicious,benign,benign,malicious
399,benign,benign,benign,benign,malicious
400,benign,benign,benign,benign,benign
401,benign,benign,benign,benign,malicious
402,benign,benign,benign,benign,benign
403,benign,benign,benign,benign,benign
404,benign,benign,benign,benign,benign
405,benign,benign,benign,benign,benign
406,benign,benign,benign,benign,benign
407,benign,benign,benign,benign,benign
408,benign,benign,benign,benign,benign
409,benign,benign,benign,benign,benign
410,benign,benign,benign,benign,benign
411,benign,benign,benign,benign,benign
412,benign,benign,benign,benign,benign
413,benign,benign,benign,benign,benign
414,benign,benign,benign,benign,benign
415,benign,benign,benign,benign,benign
416,benign,benign,benign,benign,benign
417,benign,benign,benign,benign,benign
418,benign,benign,benign,benign,benign
419,benign,benign,benign,benign,benign
420,benign,benign,benign,benign,benign
421,benign,benign,benign,benign,benign
422,benign,benign,benign,benign,benign
423,benign,benign,benign,benign,benign
424,benign,benign,benign,benign,benign
425,benign,benign,benign,benign,benign
426,benign,benign,benign,benign,benign
427,benign,benign,benign,benign,benign
428,benign,benign,benign,benign,benign
429,benign,benign,benign,benign,benign
430,benign,benign,benign,benign,benign
431,benign,benign,benign,benign,benign
432,benign,benign,benign,benign,malicious
433,benign,benign,benign,benign,benign
434,benign,benign,benign,benign,benign
435,benign,benign,benign,benign,benign
436,benign,benign,benign,benign,benign
437,benign,benign,benign,benign,benign
438,benign,benign,benign,benign,benign
439,benign,benign,benign,benign,benign
440,benign,benign,benign,benign,benign
441,benign,benign,benign,benign,benign
442,benign,benign,benign,benign,benign
443,benign,benign,benign,benign,benign
444,benign,benign,benign,benign,benign
445,benign,benign,benign,benign,benign
446,benign,benign,benign,benign,benign
447,benign,benign,benign,benign,benign
448,benign,benign,benign,benign,benign
449,benign,benign,benign,benign,benign
450,benign,benign,benign,benign,benign
451,benign,benign,benign,benign,benign
452,benign,benign,benign,benign,benign
453,benign,benign,benign,benign,benign
454,benign,benign,benign,benign,benign
455,benign,benign,benign,benign,benign
456,benign,benign,benign,benign,benign
457,benign,benign,benign,benign,benign
458,benign,benign,benign,benign,benign
459,benign,benign,benign,benign,benign
460,benign,benign,benign,benign,benign
461,benign,benign,benign,benign,malicious
462,benign,benign,benign,benign,benign
463,benign,benign,benign,benign,benign
464,benign,benign,benign,benign,benign
465,benign,benign,benign,benign,benign
466,benign,benign,benign,benign,benign
467,benign,benign,benign,benign,benign
468,benign,benign,benign,benign,benign
469,benign,benign,benign,benign,benign
470,benign,benign,benign,benign,benign
471,benign,benign,benign,benign,benign
472,benign,benign,benign,benign,benign
473,benign,benign,benign,benign,benign
474,benign,benign,benign,benign,benign
475,benign,benign,benign,benign,benign
476,benign,benign,benign,benign,benign
477,benign,benign,benign,benign,benign
478,benign,benign,benign,benign,benign
479,benign,benign,benign,benign,benign
480,benign,benign,benign,benign,benign
481,benign,benign,benign,benign,benign
482,benign,benign,benign,benign,benign
483,benign,benign,benign,benign,benign
484,benign,benign,benign,benign,benign
485,benign,benign,benign,benign,benign
486,benign,benign,benign,benign,benign
487,benign,benign,benign,benign,benign
488,benign,benign,benign,benign,benign
489,benign,benign,benign,benign,benign
490,benign,benign,benign,benign,benign
491,benign,benign,benign,benign,benign
492,benign,benign,benign,benign,benign
493,benign,benign,benign,benign,benign
494,benign,benign,benign,benign,benign
495,benign,benign,benign,benign,benign
496,benign,benign,benign,benign,benign
497,benign,benign,benign,benign,benign
498,benign,benign,benign,benign,benign
499,benign,benign,benign,benign,benign
500,benign,benign,malicious,benign,malicious
501,malicious,benign,malicious,benign,malicious
502,malicious,malicious,benign,benign,malicious
503,malicious,malicious,benign,benign,malicious
504,benign,malicious,malicious,malicious,malicious
505,benign,malicious,benign,malicious,malicious
506,benign,malicious,benign,malicious,malicious
507,benign,benign,benign,malicious,malicious
508,benign,malicious,malicious,benign,malicious
509,malicious,benign,benign,malicious,malicious
510,benign,malicious,benign,malicious,malicious
511,malicious,malicious,benign,benign,malicious
512,benign,malicious,malicious,benign,malicious
513,benign,benign,benign,malicious,malicious
514,malicious,benign,benign,benign,malicious
515,benign,benign,malicious,benign,malicious
516,benign,malicious,benign,malicious,malicious
517,malicious,malicious,benign,benign,malicious
518,benign,benign,malicious,benign,malicious
519,malicious,benign,benign,benign,malicious
520,benign,benign,benign,malicious,malicious
521,benign,malicious,malicious,benign,malicious
522,benign,benign,malicious,benign,malicious
523,malicious,benign,malicious,benign,malicious
524,malicious,malicious,benign,benign,malicious
525,benign,malicious,benign,benign,malicious
526,benign,benign,benign,malicious,malicious
527,benign,benign,benign,benign,malicious
528,benign,benign,malicious,benign,malicious
529,malicious,benign,malicious,benign,malicious
530,malicious,malicious,malicious,benign,malicious
531,malicious,benign,malicious,benign,malicious
532,benign,malicious,malicious,benign,malicious
533,benign,malicious,benign,benign,malicious
534,malicious,malicious,benign,malicious,malicious
535,benign,benign,benign,malicious,malicious
536,malicious,benign,benign,benign,malicious
537,benign,malicious,malicious,malicious,malicious
538,benign,benign,benign,benign,malicious
539,benign,benign,benign,benign,malicious
540,benign,malicious,benign,malicious,malicious
541,malicious,benign,malicious,malicious,malicious
542,malicious,benign,malicious,malicious,malicious
543,malicious,malicious,malicious,benign,malicious
544,benign,benign,benign,benign,malicious
545,malicious,benign,benign,benign,malicious
546,malicious,malicious,benign,malicious,malicious
547,malicious,benign,malicious,malicious,malicious
548,benign,malicious,benign,malicious,malicious
549,malicious,benign,benign,malicious,malicious
550,benign,benign,benign,benign,malicious
551,malicious,malicious,benign,benign,malicious
552,malicious,benign,benign,benign,malicious
553,benign,benign,benign,malicious,malicious
554,benign,benign,malicious,benign,malicious
555,benign,benign,benign,benign,malicious
556,benign,malicious,malicious,benign,malicious
557,benign,benign,malicious,malicious,malicious
558,benign,benign,benign,benign,malicious
559,malicious,benign,malicious,malicious,malicious
560,benign,benign,benign,benign,malicious
561,benign,malicious,benign,benign,malicious
562,malicious,benign,malicious,benign,malicious
563,malicious,malicious,malicious,benign,malicious
564,malicious,malicious,benign,malicious,malicious
565,malicious,malicious,benign,benign,malicious
566,malicious,malicious,benign,malicious,malicious
567,benign,malicious,malicious,malicious,malicious
568,malicious,malicious,benign,benign,malicious
569,benign,benign,benign,benign,malicious
570,malicious,malicious,benign,benign,malicious
571,malicious,benign,benign,benign,malicious
572,malicious,benign,malicious,malicious,malicious
573,malicious,benign,malicious,malicious,malicious
574,malicious,benign,malicious,benign,malicious
575,benign,malicious,malicious,benign,malicious
576,malicious,benign,benign,benign,malicious
577,malicious,benign,malicious,malicious,malicious
578,benign,malicious,malicious,benign,malicious
579,benign,benign,benign,malicious,malicious
580,malicious,benign,malicious,malicious,malicious
581,malicious,benign,malicious,benign,malicious
582,benign,benign,malicious,benign,malicious
583,benign,benign,benign,malicious,malicious
584,malicious,benign,benign,benign,malicious
585,malicious,benign,benign,malicious,malicious
586,benign,benign,benign,malicious,malicious
587,benign,malicious,benign,benign,malicious
588,malicious,benign,benign,benign,malicious
589,benign,benign,malicious,benign,malicious
590,malicious,benign,benign,malicious,malicious
591,benign,benign,benign,benign,malicious
592,benign,malicious,benign,benign,malicious
593,malicious,benign,benign,benign,malicious
594,malicious,malicious,benign,malicious,malicious
595,malicious,malicious,malicious,benign,malicious
596,benign,malicious,malicious,benign,malicious
597,malicious,benign,benign,malicious,malicious
598,malicious,benign,malicious,benign,malicious
599,malicious,benign,benign,benign,malicious
600,benign,benign,benign,benign,benign
601,benign,benign,benign,benign,benign
602,benign,benign,benign,benign,benign
603,benign,benign,benign,benign,benign
604,benign,benign,benign,benign,benign
605,benign,benign,benign,benign,benign
606,benign,benign,benign,benign,benign
607,benign,benign,benign,benign,benign
608,benign,benign,benign,benign,benign
609,benign,benign,benign,benign,benign
610,benign,benign,benign,benign,benign
611,benign,benign,benign,benign,benign
612,benign,benign,benign,benign,benign
614,benign,benign,benign,benign,benign
615,benign,benign,benign,benign,benign
616,benign,benign,benign,benign,benign
617,benign,benign,benign,benign,benign
618,benign,benign,benign,benign,benign
619,benign,benign,benign,benign,benign
620,benign,benign,benign,benign,benign
621,benign,benign,benign,benign,benign
622,benign,benign,benign,benign,benign
623,benign,benign,benign,benign,benign
624,benign,benign,benign,benign,benign
625,benign,benign,benign,benign,benign
626,benign,benign,benign,benign,benign
627,benign,benign,benign,benign,benign
628,benign,benign,benign,benign,benign
629,benign,benign,benign,benign,benign
630,benign,benign,benign,benign,benign
631,benign,benign,benign,benign,benign
632,benign,benign,benign,benign,benign
633,benign,benign,benign,benign,benign
634,benign,benign,benign,benign,benign
635,benign,benign,benign,benign,benign
636,benign,benign,benign,benign,benign
637,benign,benign,benign,benign,benign
638,benign,benign,benign,benign,benign
639,benign,benign,benign,benign,malicious
640,benign,benign,benign,benign,benign
641,benign,benign,benign,benign,benign
642,benign,benign,benign,benign,benign
643,benign,benign,benign,benign,benign
644,benign,benign,benign,benign,benign
645,benign,benign,benign,benign,benign
646,benign,benign,benign,benign,benign
647,benign,benign,benign,benign,benign
648,benign,benign,benign,benign,benign
649,benign,benign,benign,benign,benign
650,benign,benign,benign,benign,benign
651,benign,benign,benign,benign,benign
652,benign,benign,benign,benign,benign
653,benign,benign,benign,benign,benign
654,benign,benign,benign,benign,malicious
655,benign,benign,benign,benign,benign
656,benign,benign,benign,benign,benign
657,benign,benign,benign,benign,benign
658,benign,benign,benign,benign,benign
659,benign,benign,benign,benign,benign
660,benign,benign,benign,benign,benign
661,benign,benign,benign,benign,benign
662,benign,benign,benign,benign,benign
663,benign,benign,benign,benign,benign
664,benign,benign,benign,benign,benign
665,benign,benign,benign,benign,benign
666,benign,benign,benign,benign,benign
667,benign,benign,benign,benign,benign
668,benign,benign,benign,benign,benign
669,benign,benign,benign,benign,benign
670,benign,benign,benign,benign,benign
671,benign,benign,benign,benign,benign
672,benign,benign,benign,benign,benign
673,benign,benign,benign,benign,benign
674,benign,benign,benign,benign,benign
675,benign,benign,benign,benign,benign
676,benign,benign,benign,benign,benign
677,benign,benign,benign,benign,benign
678,benign,benign,benign,benign,benign
679,benign,benign,benign,benign,benign
680,benign,benign,benign,benign,benign
681,benign,benign,benign,benign,benign
682,benign,benign,benign,benign,benign
683,benign,benign,benign,benign,benign
684,benign,benign,benign,benign,benign
685,benign,benign,benign,benign,benign
686,benign,benign,benign,benign,benign
687,benign,benign,benign,benign,benign
688,benign,benign,benign,benign,benign
689,benign,benign,benign,benign,benign
690,benign,benign,benign,benign,benign
691,benign,benign,benign,benign,benign
692,benign,benign,benign,benign,benign
693,benign,benign,benign,benign,benign
694,benign,benign,benign,benign,benign
695,benign,benign,benign,benign,benign
696,benign,benign,benign,benign,malicious
697,benign,benign,benign,benign,benign
698,benign,benign,benign,benign,benign
699,benign,benign,benign,benign,benign
